year_month,count
2016-01-01,64
2016-02-01,58
2016-03-01,66
2016-04-01,57
2016-05-01,46
2016-06-01,49
2016-07-01,55
2016-08-01,65
2016-09-01,52
2016-10-01,50
2016-11-01,51
2016-12-01,46
2017-01-01,45
2017-02-01,41
2017-03-01,56
2017-04-01,45
2017-05-01,55
2017-06-01,34
2017-07-01,45
2017-08-01,39
2017-09-01,32
2017-10-01,34
2017-11-01,47
2017-12-01,64
2018-01-01,41
2018-02-01,43
2018-03-01,33
2018-04-01,43
2018-05-01,40
2018-06-01,35
2018-07-01,34
2018-08-01,31
2018-09-01,42
2018-10-01,47
2018-11-01,41
2018-12-01,42
2019-01-01,38
2019-02-01,35
2019-03-01,38
2019-04-01,40
2019-05-01,43
2019-06-01,39
2019-07-01,27
2019-08-01,29
2019-09-01,27
2019-10-01,40
2019-11-01,37
2019-12-01,37
2020-01-01,43
2020-02-01,47
2020-03-01,25
2020-04-01,3
2020-05-01,14
2020-06-01,23
2020-07-01,24
2020-08-01,22
2020-09-01,19
2020-10-01,30
2020-11-01,26
2020-12-01,35
2021-01-01,31
2021-02-01,31
2021-03-01,30
2021-04-01,27
2021-05-01,13
2021-06-01,18
2021-07-01,17
2021-08-01,23
2021-09-01,24
2021-10-01,27
2021-11-01,40
2021-12-01,38
2022-01-01,27
2022-02-01,35
2022-03-01,32
2022-04-01,23
2022-05-01,49
2022-06-01,39
2022-07-01,34
2022-08-01,34
2022-09-01,24
2022-10-01,38
2022-11-01,38
2022-12-01,34
2023-01-01,51
2023-02-01,31
2023-03-01,29
2023-04-01,43
2023-05-01,30
2023-06-01,40
2023-07-01,31
2023-08-01,38
2023-09-01,29
2023-10-01,36
2023-11-01,31
2023-12-01,34
2024-01-01,35
2024-02-01,37
