year_month,count
2016-01-01,334
2016-02-01,361
2016-03-01,395
2016-04-01,343
2016-05-01,401
2016-06-01,376
2016-07-01,372
2016-08-01,444
2016-09-01,383
2016-10-01,370
2016-11-01,416
2016-12-01,394
2017-01-01,404
2017-02-01,377
2017-03-01,412
2017-04-01,348
2017-05-01,360
2017-06-01,396
2017-07-01,370
2017-08-01,394
2017-09-01,380
2017-10-01,393
2017-11-01,368
2017-12-01,387
2018-01-01,381
2018-02-01,361
2018-03-01,349
2018-04-01,325
2018-05-01,321
2018-06-01,324
2018-07-01,344
2018-08-01,344
2018-09-01,297
2018-10-01,299
2018-11-01,329
2018-12-01,380
2019-01-01,368
2019-02-01,327
2019-03-01,340
2019-04-01,321
2019-05-01,321
2019-06-01,334
2019-07-01,306
2019-08-01,359
2019-09-01,306
2019-10-01,348
2019-11-01,336
2019-12-01,344
2020-01-01,334
2020-02-01,353
2020-03-01,253
2020-04-01,57
2020-05-01,176
2020-06-01,181
2020-07-01,155
2020-08-01,196
2020-09-01,210
2020-10-01,254
2020-11-01,229
2020-12-01,264
2021-01-01,249
2021-02-01,265
2021-03-01,262
2021-04-01,199
2021-05-01,96
2021-06-01,172
2021-07-01,207
2021-08-01,240
2021-09-01,241
2021-10-01,245
2021-11-01,234
2021-12-01,233
2022-01-01,226
2022-02-01,217
2022-03-01,298
2022-04-01,274
2022-05-01,251
2022-06-01,253
2022-07-01,274
2022-08-01,259
2022-09-01,272
2022-10-01,252
2022-11-01,288
2022-12-01,309
2023-01-01,368
2023-02-01,312
2023-03-01,325
2023-04-01,292
2023-05-01,301
2023-06-01,353
2023-07-01,362
2023-08-01,389
2023-09-01,368
2023-10-01,309
2023-11-01,323
2023-12-01,388
2024-01-01,339
2024-02-01,356
