year_month,count
2016-01-01,2902
2016-02-01,2756
2016-03-01,2939
2016-04-01,2967
2016-05-01,3282
2016-06-01,2715
2016-07-01,2602
2016-08-01,2750
2016-09-01,2628
2016-10-01,2789
2016-11-01,2751
2016-12-01,2822
2017-01-01,2919
2017-02-01,2614
2017-03-01,2822
2017-04-01,2766
2017-05-01,3068
2017-06-01,2719
2017-07-01,2507
2017-08-01,2555
2017-09-01,2513
2017-10-01,2695
2017-11-01,2671
2017-12-01,2908
2018-01-01,2957
2018-02-01,2626
2018-03-01,2661
2018-04-01,2595
2018-05-01,2788
2018-06-01,2655
2018-07-01,2516
2018-08-01,2446
2018-09-01,2446
2018-10-01,2420
2018-11-01,2549
2018-12-01,2822
2019-01-01,2762
2019-02-01,2629
2019-03-01,2649
2019-04-01,2687
2019-05-01,2818
2019-06-01,2693
2019-07-01,2300
2019-08-01,2172
2019-09-01,2145
2019-10-01,2389
2019-11-01,2487
2019-12-01,2677
2020-01-01,2798
2020-02-01,2759
2020-03-01,2249
2020-04-01,589
2020-05-01,1664
2020-06-01,1935
2020-07-01,1653
2020-08-01,1977
2020-09-01,2079
2020-10-01,2204
2020-11-01,2394
2020-12-01,2661
2021-01-01,2641
2021-02-01,2287
2021-03-01,2537
2021-04-01,2058
2021-05-01,1030
2021-06-01,1461
2021-07-01,1863
2021-08-01,2101
2021-09-01,2119
2021-10-01,2212
2021-11-01,2319
2021-12-01,2523
2022-01-01,2279
2022-02-01,2377
2022-03-01,2571
2022-04-01,2382
2022-05-01,2581
2022-06-01,2397
2022-07-01,2201
2022-08-01,2288
2022-09-01,2190
2022-10-01,2483
2022-11-01,2475
2022-12-01,2635
2023-01-01,2838
2023-02-01,2573
2023-03-01,2577
2023-04-01,2428
2023-05-01,2664
2023-06-01,2645
2023-07-01,2537
2023-08-01,2652
2023-09-01,2653
2023-10-01,2639
2023-11-01,2622
2023-12-01,2921
2024-01-01,2735
2024-02-01,2807
