year_month,count
2016-01-01,149
2016-02-01,128
2016-03-01,150
2016-04-01,149
2016-05-01,169
2016-06-01,133
2016-07-01,126
2016-08-01,133
2016-09-01,133
2016-10-01,135
2016-11-01,141
2016-12-01,123
2017-01-01,175
2017-02-01,152
2017-03-01,198
2017-04-01,174
2017-05-01,168
2017-06-01,136
2017-07-01,162
2017-08-01,172
2017-09-01,162
2017-10-01,154
2017-11-01,161
2017-12-01,134
2018-01-01,169
2018-02-01,169
2018-03-01,152
2018-04-01,150
2018-05-01,183
2018-06-01,161
2018-07-01,154
2018-08-01,169
2018-09-01,161
2018-10-01,177
2018-11-01,201
2018-12-01,167
2019-01-01,165
2019-02-01,180
2019-03-01,200
2019-04-01,195
2019-05-01,199
2019-06-01,179
2019-07-01,200
2019-08-01,156
2019-09-01,153
2019-10-01,159
2019-11-01,156
2019-12-01,193
2020-01-01,217
2020-02-01,205
2020-03-01,192
2020-04-01,102
2020-05-01,159
2020-06-01,189
2020-07-01,134
2020-08-01,153
2020-09-01,188
2020-10-01,182
2020-11-01,204
2020-12-01,181
2021-01-01,217
2021-02-01,251
2021-03-01,249
2021-04-01,215
2021-05-01,131
2021-06-01,211
2021-07-01,236
2021-08-01,238
2021-09-01,264
2021-10-01,243
2021-11-01,264
2021-12-01,272
2022-01-01,264
2022-02-01,231
2022-03-01,275
2022-04-01,276
2022-05-01,262
2022-06-01,283
2022-07-01,245
2022-08-01,221
2022-09-01,258
2022-10-01,224
2022-11-01,271
2022-12-01,283
2023-01-01,250
2023-02-01,229
2023-03-01,290
2023-04-01,292
2023-05-01,314
2023-06-01,317
2023-07-01,324
2023-08-01,373
2023-09-01,299
2023-10-01,287
2023-11-01,296
2023-12-01,392
2024-01-01,305
2024-02-01,278
