"16.05638738043081, 75.9459479353242"
"15.922819080265514, 75.68028861256671"
"16.150377636507695, 75.67634978188225"
"16.181236357003893, 75.69248929722725"
'16.181057722709838, 75.69187868003016'
'16.160182677882847, 75.67169178188246'
'16.15619316132436, 75.66441539907946'
'16.47855544287161, 75.1236225662844'
'16.349419649274992, 75.61238241628014'
'16.054283882284565, 75.77807851935543'
'16.066757211565136, 76.0603193358475'
'15.9658609243791, 76.11169979537047'
'15.965974389117845, 76.11206457579763'
'16.18118483793205, 75.69248929722725'
'16.51064327767353, 75.28121104300624'
'16.20789862196134, 75.49916190193554'
'16.014950971365792, 75.54793997394596'
'16.16310065136505, 75.36735371257129'
'16.406329213887375, 75.12815819791084'
'16.32984448508994, 75.28541729114895'
'16.159202468910905, 75.66148981257119'
'16.67335724405149, 75.34652584238262'
'16.495117844295283, 75.05726577580776'
'15.127349241360822, 76.9227070278966'
'15.15198447489239, 76.9008950386374'
'15.1533673034616, 76.9191482487994'
'15.144599516242755, 76.92539135858567'
'15.135379858945226, 76.91985475673283'
'15.138205693534378, 76.92525621254443'
'15.14479628430577, 76.92570249483238'
'15.137756081249414, 76.90365051017665'
'15.223599965279519, 76.59689767393144'
'15.145503702250778, 76.93106944509401'
'15.804735357952389, 77.06941825698686'
'15.410256050693299, 76.60604282182088'
'15.200596589765508, 76.76569115250552'
'15.354030411827628, 76.84176116927308'
'15.241627363049492, 77.06005612552283'
'15.143591223376513, 77.05266431255255'
'15.083392992003688, 76.5443641966839'
'15.460500601363515, 76.8534089009017'
'15.63681578370975, 76.89457349854649'
'15.545312882650908, 76.88320688845944'
'15.192868339315568, 76.67225894324216'
'15.883864441505024, 74.50868449114049'
'15.77619153175316, 74.63841013531899'
'15.862612690447156, 74.51981897076088'
'15.858999000701978, 74.50679241064755'
'15.833659007174337, 74.51508091997567'
'15.864775982263495, 74.51394575940147'
'15.857639495541472, 74.50594766600922'
'15.8546387572175, 74.50444935674591'
'15.930550440120006, 74.5276799683864'
'15.865425199600702, 74.52313690384547'
'15.882046544208201, 74.52931191256594'
'15.89197842300688, 74.67509056956258'
'15.863023474489129, 74.52012986696285'
'15.83714487333286, 74.51887390092604'
'15.836194692919861, 74.5020336874343'
'15.820978565791844, 74.49141013769554'
