District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No
Bagalkot,Amengad PS,0001/2016,1,2016,1,2015-12-27 12:00:00.000,2015-12-27 12:05:00.000,2016-01-05 11:00:00.000,05/01/2016,Non Heinous,Dis/Acq,Written,POCSO,Others,0.0000000000000000000000,0.0000000000000000000000,"PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 12 IPC 1860 U/s: 306,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 18 ",R S BIRADAR   (PI),1898733,NULL,42900007,"KAMATAGI BUS STAND, KAMATAGI BUS STAND",WEST FROM PS 12 KM,RURAL BEAT NO 13,KAMATAGI,0,0,0,1,0,0,1,1,0,1,1,0,2016000002,1245,10470124520160001
Bagalkot,Amengad PS,0002/2016,1,2016,1,2016-01-12 17:30:00.000,2016-01-12 17:35:00.000,2016-01-12 19:00:00.000,12/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",G.H.KUPPI   (PSI),1332599,NULL,123600010,"RAKKASAGI VILLEGE IN FRONT MOUNESHWAR TEMPEL, RAKKASAGI VILLEGE IN FRONT MOUNESHWAR TEMPEL",WEST FROM PS 2 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,5,5,0,5,5,2,2016000003,1245,10470124520160002
Bagalkot,Amengad PS,0003/2016,1,2016,1,2016-01-12 17:45:00.000,2016-01-12 17:50:00.000,2016-01-12 19:30:00.000,12/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",S G HELVAR   (ASI),1270757,NULL,124000015,"RAKKASAGI VILLAEG BUS STAND, RAKKASAGI VILLAEG BUS STAND",EAST FROM PS 3 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,1,1,0,1,1,0,2016000004,1245,10470124520160003
Bagalkot,Amengad PS,0004/2016,1,2016,1,2016-01-14 21:30:00.000,2016-01-14 21:35:00.000,2016-01-15 14:00:00.000,15/01/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 338,337,279 ",R S BIRADAR   (PI),1898733,NULL,42900007,"BAGALKOT TO AMINAGAD SH-20 ROAD NEAR CHAPI FIELD, BAGALKOT TO AMINAGAD SH-20 ROAD NEAR CHAPI FIELD",WEST FROM PS 14 KM,RURAL BEAT NO 13,KAMATAGI,3,0,0,0,1,0,1,1,0,1,1,0,2016000005,1245,10470124520160004
Bagalkot,Amengad PS,0005/2016,1,2016,1,2016-01-18 15:00:00.000,2016-01-18 15:05:00.000,2016-01-18 19:30:00.000,18/01/2016,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 304(A),279 ",Karuneshagowda J   (PI),1820048,NULL,97500025,"AMBLIKOPPA BUS STAND, AMBLIKOPPA BUS STAND",NORTH FROM 24 KM TOWARDS PS,RURAL BEAT NO 16,MADAPUR,0,1,0,0,0,0,1,1,0,1,1,0,2016000006,1245,10470124520160005
Bagalkot,Amengad PS,0006/2016,1,2016,1,2016-01-19 08:00:00.000,2016-01-19 08:05:00.000,2016-01-19 15:30:00.000,19/01/2016,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 338,279 ",R S BIRADAR   (PI),1898733,NULL,42900007,"AMINAGAD BAGALKOT SH 20 ROAD NEAR KABBIN KANI, AMINAGAD BAGALKOT SH 20 ROAD NEAR KABBIN KANI",WEST FROM PS TOWARDS 6 KM,RURAL BEAT NO 16,MADAPUR,1,0,0,0,0,0,1,1,0,1,1,0,2016000007,1245,10470124520160006
Bagalkot,Amengad PS,0007/2016,1,2016,1,2016-01-20 17:20:00.000,2016-01-20 17:25:00.000,2016-01-20 18:20:00.000,20/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",R S BIRADAR   (PI),1898733,NULL,42900007,"PATTANASHETTI PETROL PUMP AMINAGAD, PATTANASHETTI PETROL PUMP AMINAGAD",WEST FROM PS TOWARDS 1 KM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,1,1,0,1,1,0,2016000008,1245,10470124520160007
Bagalkot,Amengad PS,0008/2016,1,2016,1,2016-01-20 18:45:00.000,2016-01-20 18:50:00.000,2016-01-20 20:00:00.000,20/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",R S BIRADAR   (PI),1898733,NULL,42900007,"AMINAGAD BUS STAND OPPOSITE BALAJI BAR, AMINAGAD BUS STAND OPPOSITE BALAJI BAR",WEST FROM PS TOWARDS 500 MTRS,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,1,1,0,1,1,0,2016000009,1245,10470124520160008
Bagalkot,Amengad PS,0009/2016,1,2016,1,2016-01-20 22:00:00.000,2016-01-20 22:05:00.000,2016-01-21 01:00:00.000,21/01/2016,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Other Items Not Included Above,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 379 MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957 U/s: 21,4(1A),4(1) ",P.A.JADAV   (PSI),1016018,NULL,188800039,"MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER, MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER",SOUTH FROM PS TOWARDS 11 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,2,2,0,2,2,0,2016000010,1245,10470124520160009
Bagalkot,Amengad PS,0010/2016,1,2016,1,2016-01-22 19:35:00.000,2016-01-22 19:40:00.000,2016-01-22 21:20:00.000,22/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",P.A.JADAV   (PSI),1016018,NULL,188800039,"AIHOLE VILLAGE RAVALAPDE TEMPEL BACK IN PUBLIC, AIHOLE VILLAGE RAVALAPDE TEMPEL BACK IN PUBLIC",SOUTH FROME PS 8 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,5,5,0,5,5,0,2016000011,1245,10470124520160010
