year_month,count
2016-01-01,47
2016-02-01,49
2016-03-01,46
2016-04-01,47
2016-05-01,50
2016-06-01,28
2016-07-01,42
2016-08-01,42
2016-09-01,44
2016-10-01,47
2016-11-01,38
2016-12-01,51
2017-01-01,37
2017-02-01,27
2017-03-01,48
2017-04-01,42
2017-05-01,44
2017-06-01,36
2017-07-01,45
2017-08-01,30
2017-09-01,34
2017-10-01,31
2017-11-01,51
2017-12-01,45
2018-01-01,54
2018-02-01,50
2018-03-01,44
2018-04-01,54
2018-05-01,30
2018-06-01,42
2018-07-01,36
2018-08-01,28
2018-09-01,32
2018-10-01,41
2018-11-01,46
2018-12-01,52
2019-01-01,50
2019-02-01,44
2019-03-01,23
2019-04-01,47
2019-05-01,56
2019-06-01,44
2019-07-01,34
2019-08-01,37
2019-09-01,32
2019-10-01,44
2019-11-01,59
2019-12-01,49
2020-01-01,46
2020-02-01,57
2020-03-01,29
2020-04-01,14
2020-05-01,28
2020-06-01,26
2020-07-01,28
2020-08-01,31
2020-09-01,35
2020-10-01,35
2020-11-01,40
2020-12-01,51
2021-01-01,46
2021-02-01,45
2021-03-01,37
2021-04-01,39
2021-05-01,21
2021-06-01,32
2021-07-01,33
2021-08-01,37
2021-09-01,44
2021-10-01,38
2021-11-01,51
2021-12-01,57
2022-01-01,30
2022-02-01,46
2022-03-01,50
2022-04-01,51
2022-05-01,50
2022-06-01,36
2022-07-01,47
2022-08-01,60
2022-09-01,40
2022-10-01,28
2022-11-01,46
2022-12-01,55
2023-01-01,52
2023-02-01,45
2023-03-01,38
2023-04-01,32
2023-05-01,47
2023-06-01,35
2023-07-01,37
2023-08-01,34
2023-09-01,40
2023-10-01,32
2023-11-01,43
2023-12-01,41
2024-01-01,40
2024-02-01,56
