year_month,count
2016-01-01,31
2016-02-01,33
2016-03-01,49
2016-04-01,41
2016-05-01,49
2016-06-01,31
2016-07-01,29
2016-08-01,31
2016-09-01,37
2016-10-01,39
2016-11-01,28
2016-12-01,43
2017-01-01,40
2017-02-01,36
2017-03-01,36
2017-04-01,35
2017-05-01,29
2017-06-01,34
2017-07-01,20
2017-08-01,24
2017-09-01,30
2017-10-01,15
2017-11-01,37
2017-12-01,43
2018-01-01,41
2018-02-01,39
2018-03-01,33
2018-04-01,23
2018-05-01,24
2018-06-01,31
2018-07-01,27
2018-08-01,35
2018-09-01,26
2018-10-01,36
2018-11-01,27
2018-12-01,43
2019-01-01,44
2019-02-01,35
2019-03-01,43
2019-04-01,28
2019-05-01,34
2019-06-01,32
2019-07-01,24
2019-08-01,31
2019-09-01,23
2019-10-01,29
2019-11-01,29
2019-12-01,27
2020-01-01,38
2020-02-01,36
2020-03-01,33
2020-04-01,16
2020-05-01,21
2020-06-01,21
2020-07-01,25
2020-08-01,19
2020-09-01,11
2020-10-01,23
2020-11-01,33
2020-12-01,37
2021-01-01,35
2021-02-01,32
2021-03-01,44
2021-04-01,21
2021-05-01,16
2021-06-01,30
2021-07-01,33
2021-08-01,27
2021-09-01,29
2021-10-01,25
2021-11-01,41
2021-12-01,44
2022-01-01,20
2022-02-01,28
2022-03-01,28
2022-04-01,26
2022-05-01,32
2022-06-01,16
2022-07-01,29
2022-08-01,23
2022-09-01,35
2022-10-01,28
2022-11-01,24
2022-12-01,25
2023-01-01,35
2023-02-01,31
2023-03-01,27
2023-04-01,26
2023-05-01,25
2023-06-01,27
2023-07-01,20
2023-08-01,34
2023-09-01,20
2023-10-01,24
2023-11-01,24
2023-12-01,33
2024-01-01,33
2024-02-01,39
