year_month,count
2016-01-01,230
2016-02-01,228
2016-03-01,266
2016-04-01,242
2016-05-01,251
2016-06-01,221
2016-07-01,203
2016-08-01,238
2016-09-01,186
2016-10-01,227
2016-11-01,247
2016-12-01,227
2017-01-01,228
2017-02-01,212
2017-03-01,254
2017-04-01,214
2017-05-01,244
2017-06-01,238
2017-07-01,252
2017-08-01,247
2017-09-01,247
2017-10-01,257
2017-11-01,249
2017-12-01,235
2018-01-01,249
2018-02-01,220
2018-03-01,260
2018-04-01,196
2018-05-01,221
2018-06-01,262
2018-07-01,244
2018-08-01,231
2018-09-01,256
2018-10-01,275
2018-11-01,254
2018-12-01,268
2019-01-01,254
2019-02-01,230
2019-03-01,223
2019-04-01,238
2019-05-01,273
2019-06-01,290
2019-07-01,245
2019-08-01,255
2019-09-01,209
2019-10-01,234
2019-11-01,250
2019-12-01,265
2020-01-01,255
2020-02-01,251
2020-03-01,178
2020-04-01,60
2020-05-01,146
2020-06-01,172
2020-07-01,138
2020-08-01,173
2020-09-01,198
2020-10-01,188
2020-11-01,189
2020-12-01,181
2021-01-01,227
2021-02-01,247
2021-03-01,305
2021-04-01,218
2021-05-01,128
2021-06-01,155
2021-07-01,195
2021-08-01,264
2021-09-01,209
2021-10-01,236
2021-11-01,259
2021-12-01,275
2022-01-01,244
2022-02-01,270
2022-03-01,287
2022-04-01,275
2022-05-01,278
2022-06-01,293
2022-07-01,237
2022-08-01,221
2022-09-01,266
2022-10-01,271
2022-11-01,309
2022-12-01,253
2023-01-01,261
2023-02-01,237
2023-03-01,270
2023-04-01,253
2023-05-01,312
2023-06-01,304
2023-07-01,351
2023-08-01,355
2023-09-01,336
2023-10-01,338
2023-11-01,369
2023-12-01,297
2024-01-01,375
2024-02-01,388
