year_month,count
2016-01-01,1622
2016-02-01,1504
2016-03-01,1738
2016-04-01,1710
2016-05-01,1782
2016-06-01,1825
2016-07-01,1719
2016-08-01,1764
2016-09-01,1519
2016-10-01,1735
2016-11-01,1574
2016-12-01,1819
2017-01-01,1617
2017-02-01,1661
2017-03-01,1836
2017-04-01,1653
2017-05-01,1809
2017-06-01,1781
2017-07-01,1924
2017-08-01,1786
2017-09-01,1695
2017-10-01,1776
2017-11-01,1747
2017-12-01,1676
2018-01-01,1519
2018-02-01,1368
2018-03-01,1644
2018-04-01,1593
2018-05-01,1421
2018-06-01,1804
2018-07-01,1887
2018-08-01,1666
2018-09-01,1589
2018-10-01,1793
2018-11-01,1743
2018-12-01,1676
2019-01-01,1540
2019-02-01,1538
2019-03-01,1659
2019-04-01,1391
2019-05-01,1758
2019-06-01,1719
2019-07-01,1704
2019-08-01,1329
2019-09-01,1241
2019-10-01,1486
2019-11-01,1624
2019-12-01,1554
2020-01-01,1391
2020-02-01,1490
2020-03-01,1189
2020-04-01,407
2020-05-01,775
2020-06-01,1003
2020-07-01,979
2020-08-01,1207
2020-09-01,1380
2020-10-01,1339
2020-11-01,1350
2020-12-01,1272
2021-01-01,1337
2021-02-01,1302
2021-03-01,1541
2021-04-01,1165
2021-05-01,803
2021-06-01,1233
2021-07-01,1612
2021-08-01,1639
2021-09-01,1550
2021-10-01,1522
2021-11-01,1575
2021-12-01,1738
2022-01-01,1573
2022-02-01,1595
2022-03-01,1707
2022-04-01,1671
2022-05-01,1851
2022-06-01,1911
2022-07-01,1931
2022-08-01,1825
2022-09-01,1620
2022-10-01,1613
2022-11-01,1688
2022-12-01,1920
2023-01-01,1626
2023-02-01,1601
2023-03-01,1633
2023-04-01,1532
2023-05-01,1698
2023-06-01,2380
2023-07-01,2731
2023-08-01,2827
2023-09-01,2219
2023-10-01,2372
2023-11-01,2082
2023-12-01,2210
2024-01-01,1916
2024-02-01,1992
