year_month,count
2016-01-01,21310
2016-02-01,21124
2016-03-01,19629
2016-04-01,17458
2016-05-01,18514
2016-06-01,17205
2016-07-01,19629
2016-08-01,22712
2016-09-01,19346
2016-10-01,18487
2016-11-01,18105
2016-12-01,16881
2017-01-01,17321
2017-02-01,18713
2017-03-01,22096
2017-04-01,22964
2017-05-01,26326
2017-06-01,26372
2017-07-01,24704
2017-08-01,20028
2017-09-01,17429
2017-10-01,18686
2017-11-01,18755
2017-12-01,16726
2018-01-01,18144
2018-02-01,27376
2018-03-01,27785
2018-04-01,30148
2018-05-01,15317
2018-06-01,15212
2018-07-01,15257
2018-08-01,14418
2018-09-01,14327
2018-10-01,14836
2018-11-01,14950
2018-12-01,14760
2019-01-01,14598
2019-02-01,14020
2019-03-01,16354
2019-04-01,14857
2019-05-01,15748
2019-06-01,15797
2019-07-01,15579
2019-08-01,13843
2019-09-01,13227
2019-10-01,14668
2019-11-01,14451
2019-12-01,14221
2020-01-01,14092
2020-02-01,15231
2020-03-01,15144
2020-04-01,9677
2020-05-01,12549
2020-06-01,13109
2020-07-01,12544
2020-08-01,13623
2020-09-01,14919
2020-10-01,13747
2020-11-01,13707
2020-12-01,13952
2021-01-01,14204
2021-02-01,13742
2021-03-01,15338
2021-04-01,15401
2021-05-01,14745
2021-06-01,14380
2021-07-01,15123
2021-08-01,15332
2021-09-01,14947
2021-10-01,14393
2021-11-01,14410
2021-12-01,15803
2022-01-01,15349
2022-02-01,15279
2022-03-01,17010
2022-04-01,16507
2022-05-01,18226
2022-06-01,17201
2022-07-01,16421
2022-08-01,16283
2022-09-01,15614
2022-10-01,15555
2022-11-01,16095
2022-12-01,17601
2023-01-01,16292
2023-02-01,16057
2023-03-01,20598
2023-04-01,19405
2023-05-01,17876
2023-06-01,21621
2023-07-01,21844
2023-08-01,22375
2023-09-01,20025
2023-10-01,19397
2023-11-01,18906
2023-12-01,19385
2024-01-01,18045
2024-02-01,18831
